PageURL,Type,variable,value
recherche-search.gc.ca/rGs/s_r,Canada.Ca Search,2.1.2017,0
www.canada.ca/fr/emploi-developpement-social/ministere/portefeuille/service-canada.html,Employment and Social Development ,2.1.2017,305400
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply.html,Immigration,2.1.2017,0
www.canada.ca/fr/services/immigration-citoyennete.html,Immigration,2.1.2017,0
www.canada.ca/en/employment-social-development/services/my-account/before-register.html,Employment and Social Development ,2.1.2017,277764
www.canada.ca/en/public-service-commission/jobs/services/public-service-jobs.html,Jobs,2.1.2017,663318
www.canada.ca/en/immigration-refugees-citizenship/services/work-canada.html,Immigration,2.1.2017,0
www.canada.ca/en/contact.html,Canada.ca Contact page,2.1.2017,223692
www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html,Immigration,2.1.2017,0
www.canada.ca/en/services/jobs/opportunities/government.html,Jobs,2.1.2017,113662
www.canada.ca/en/services/taxes/income-tax/personal-income-tax.html,Taxes,2.1.2017,53774
www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/payments.html,Benefits,2.1.2017,215875
www.canada.ca/en/services/benefits.html,Benefits,2.1.2017,226207
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply-passport-information.html,Immigration,2.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/cra-login-services/cra-login-services-register-forgot-your-user.html,Taxes,2.1.2017,0
www.canada.ca/en/services/benefits/ei/ei-regular-benefit/apply.html,Benefits,2.1.2017,122131
www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/account-individuals/help-account.html,Taxes,2.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/study-canada.html,Immigration,2.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/apply-visitor-visa.html,Immigration,2.1.2017,0
www.canada.ca/en/services/benefits/publicpensions/cpp.html,Benefits,2.1.2017,229312
www.canada.ca/en/revenue-agency/services/e-services/payment-save-time-pay-online.html,Taxes,2.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/mycra.html,Taxes,2.1.2017,0
www.canada.ca/en/revenue-agency/services/make-a-payment-canada-revenue-agency.html,Taxes,2.1.2017,0
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/portal/page/portal/msca/private/faces/oracle/webcenter/portalapp/pages/message-centre.jspx,Employment and Social Development ,2.1.2017,0
www.canada.ca/en/employment-social-development/corporate/contact/ei-individual.html,Employment and Social Development ,2.1.2017,110297
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/works.html,Immigration,2.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/application-canadian-citizenship-adults.html,Immigration,2.1.2017,0
www1.canada.ca/fr/deconnexion/mdsc.html,Employment and Social Development ,2.1.2017,641
www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-benefit/amount.html,Benefits,2.1.2017,172630
www.canada.ca/en/services/taxes/gsthst.html,Taxes,2.1.2017,20522
search-recherche.gc.ca/rGs/s_r,Canada.Ca Search,2.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/guide-5256-applying-visitor-visa-temporary-resident-visa.html,Immigration,2.1.2017,0
www.canada.ca/fr/services/prestations/ae/assurance-emploi-reguliere.html,Employment and Social Development ,2.1.2017,212975
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/become-candidate/eligibility/find-national-occupation-code.html,Immigration,2.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/eligibility/find-national-occupation-code.html,Immigration,2.1.2017,0
www.canada.ca/fr/sr.html,Canada.Ca Home Page,2.1.2017,154006
www.canada.ca/en/revenue-agency/services/child-family-benefits/benefit-payment-dates.html,Taxes,2.1.2017,0
www.canada.ca/en/services/benefits/ei/ei-apply-online.html,Benefits,2.1.2017,162997
www.canada.ca/en/services/benefits/ei/ei-regular-benefit/eligibility.html,Benefits,2.1.2017,95409
www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship.html,Immigration,2.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/corporate/contact-ircc.html,Immigration,2.1.2017,0
www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security.html,Benefits,2.1.2017,155058
www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports.html,Immigration,2.1.2017,0
www.canada.ca/en/employment-social-development.html,Employment and Social Development ,2.1.2017,133551
www.canada.ca/en/revenue-agency.html,Taxes,3.1.2017,71094
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/portal/page/portal/msca/private/faces/oracle/webcenter/portalapp/pages/home.jspx,Employment and Social Development ,3.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/account-individuals.html,Taxes,3.1.2017,0
www.canada.ca/en/employment-social-development/services/my-account/access.html,Employment and Social Development ,3.1.2017,3531773
www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html,Immigration,3.1.2017,0
www.canada.ca/en/employment-social-development/services/my-account.html,Employment and Social Development ,3.1.2017,3038463
www.canada.ca/en/services/immigration-citizenship.html,Immigration,3.1.2017,0
www.canada.ca/en.html,Canada.Ca Home Page,3.1.2017,1900487
www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html,Employment and Social Development ,3.1.2017,2377318
