Metrics,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
ampproject.org,228,241,471,391,411,3806,2229,2320,2666,4039,4090,6827,12270,15086,22679,20195,12582,14518,17980,16679,16241,25052,27846,22392
gov.on.ca,1443,1933,2219,1648,1424,1616,7012,13938,11833,13406,13755,11134,14711,15200,16031,13177,11612,14730,13941,14968,14079,15284,14133,11104
ecosia.org,2047,3141,4641,3675,3290,2878,4332,5666,6517,7999,9803,10702,14585,14742,19633,19137,14039,12034,12684,11814,13154,17001,17923,15160
dfo-mpo.gc.ca,2158,3981,7604,6489,7528,7354,6658,7167,6437,5318,4953,4291,6452,8734,7908,16426,20245,19516,19086,17446,13408,13791,13049,10198
google.ie,1176,1570,1912,1874,1937,1848,2505,3299,3298,4052,4057,16319,23015,20433,20407,19060,17352,13753,13403,12995,12297,12708,12786,10764
google.co.za,945,1642,1900,2072,2550,2085,2357,4004,3552,3374,3211,9977,13904,13828,19569,17592,16501,14413,15873,19919,17836,16769,14641,10780
google.co.nz,1011,1397,1874,1907,2195,2164,2542,3504,3214,3442,3555,14490,16456,14335,16527,17791,17285,16999,16116,15140,13943,14073,14704,12083
google.es,1492,1999,2376,2115,2495,2451,3119,3637,4187,5157,5486,11145,15628,16626,18146,17607,16310,16565,16944,13938,12644,13100,13778,9779
google.nl,1070,1673,2018,1978,2209,2293,2820,3779,4349,4677,5333,12380,15922,14610,18348,17374,15613,15491,15350,13925,13806,13690,13493,9992
veterans.gc.ca,2109,2383,4800,4736,2552,2904,2888,3199,3185,3815,5100,3490,3421,3043,4136,17332,15674,12996,11398,10745,15076,22868,49137,13607
gov.bc.ca,2335,2768,3843,3648,3659,3654,8375,12666,12074,9593,8190,7363,11768,12379,13717,13787,9499,10157,13962,12055,9242,15213,9637,7659
google.ch,1174,1703,2280,2079,2595,2766,3412,5809,6004,7322,7355,11489,14949,14874,18461,14761,14079,13192,13559,13038,11629,11572,11683,9113
ontario.ca,976,2058,2804,2688,2604,2424,2896,3469,3897,4300,4525,3967,11636,14116,16868,19270,11290,11659,13927,12666,13222,28733,13547,10696
csc-scc.gc.ca,5153,7854,9057,6660,8309,7670,6783,7302,7132,5732,5548,3933,7584,7602,9104,12836,11549,10795,10791,11788,12715,13844,13246,9740
