PageURL,Type ,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec
www23.statcan.gc.ca/imdb/p3VD.pl,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657096,992627,674797,630365,627850,560036,541980,602123,561135,439252
recherche-search.gc.ca/rGs/s_r,Canada.Ca Search,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516092,830244,798618,777889,751693,655096,691396,701741,555506
www.canada.ca/fr/emploi-developpement-social/ministere/portefeuille/service-canada.html,Employment and Social Development ,537755,305400,318885,216174,239485,252407,317046,292704,208578,231599,276260,316752,341258,215650,261548,208268,173568,189159,251516,204699,160415,186414,225687,284996
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply.html,Immigration,0,0,0,0,0,0,0,0,0,2,4474,364353,464790,424488,523418,519914,612058,640511,625723,521350,441610,373089,321470,303994
www.canada.ca/fr/services/immigration-citoyennete.html,Immigration,0,0,0,0,0,0,0,0,0,0,4939,433464,535373,417549,435800,410453,437400,450656,508758,500920,483984,501384,484520,491950
www.canada.ca/en/employment-social-development/services/my-account/before-register.html,Employment and Social Development ,279265,277764,334490,252714,215209,186733,229539,210759,191720,213696,225424,195769,298828,289802,341388,300113,219689,190455,227513,199375,180072,198879,208182,189027
www.canada.ca/en/public-service-commission/jobs/services/public-service-jobs.html,Jobs,722835,663318,647708,523450,566467,549105,527061,513861,372938,84312,58177,32084,44027,32632,31157,25136,21411,18062,17641,17333,15600,14993,13836,12138
www.canada.ca/en/immigration-refugees-citizenship/services/work-canada.html,Immigration,0,0,0,0,0,0,0,0,0,0,4199,326813,470866,384289,384824,373127,400020,434127,449412,420977,402808,411908,396444,354728
www.canada.ca/en/contact.html,Canada.ca Contact page,259478,223692,248293,195755,192774,189778,298038,209013,178078,191298,203000,163904,245526,205953,249091,262776,214340,197811,232941,218329,190022,210587,202929,173268
www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html,Immigration,0,0,0,0,0,0,0,0,0,0,3,135,140,124,155,99,185,164,16186,1179188,1008776,1040960,982387,883518
www.canada.ca/en/services/jobs/opportunities/government.html,Jobs,126698,113662,163390,134308,155606,150148,153772,168161,195311,250537,221683,174064,264930,236575,249783,235311,221044,213856,228277,222058,212751,250022,223971,264302
www.canada.ca/en/services/taxes/income-tax/personal-income-tax.html,Taxes,28875,53774,87469,70602,41954,31135,119270,179638,149559,151596,160020,148662,259705,418629,684773,787596,313320,207368,209021,168008,137284,144394,130801,124352
www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/payments.html,Benefits,239534,215875,272827,235526,187764,183653,217162,197257,168503,178682,178585,174035,238768,193216,234728,228497,152530,160186,205061,166813,150293,165249,157072,168694
www.canada.ca/en/services/benefits.html,Benefits,232845,226207,256560,192479,184978,177576,237386,195219,176958,183667,187638,207619,243823,176831,201128,176626,138687,140194,179343,155644,156339,172733,191647,232025
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply-passport-information.html,Immigration,0,0,0,0,0,0,0,0,0,0,3043,257766,310443,291359,352655,376278,460189,503714,503510,416712,372632,273634,234957,229839
www.canada.ca/en/revenue-agency/services/e-services/cra-login-services/cra-login-services-register-forgot-your-user.html,Taxes,0,0,0,0,0,0,134222,211474,175996,187891,174642,151978,242810,308280,592965,726194,369413,250010,413354,224334,179134,143286,53197,46570
www.canada.ca/en/services/benefits/ei/ei-regular-benefit/apply.html,Benefits,204159,122131,158817,127736,142964,168824,238169,133456,138195,193169,212159,248673,259153,134794,170773,146954,132771,191409,239766,134823,129180,235864,317590,376182
www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/account-individuals/help-account.html,Taxes,0,0,0,0,0,0,106602,177249,131921,127481,115394,92487,136513,388495,707760,772838,434236,302858,327908,194289,146985,144447,121379,97777
www.canada.ca/en/immigration-refugees-citizenship/services/study-canada.html,Immigration,0,0,0,0,0,0,0,0,0,0,3143,223758,312514,270323,317689,340691,395620,456016,439467,385582,337212,347660,333259,278450
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/apply-visitor-visa.html,Immigration,0,0,0,0,0,0,0,0,0,0,2574,193167,265216,248303,300107,317784,436374,418833,406942,369392,350794,380752,360883,311605
www.canada.ca/en/services/benefits/publicpensions/cpp.html,Benefits,258234,229312,258322,200854,176276,152532,159578,169569,154107,174105,179472,165389,248398,196336,208071,198197,157080,148514,157037,152507,139170,155771,154365,154777
www.canada.ca/en/revenue-agency/services/e-services/payment-save-time-pay-online.html,Taxes,0,0,0,0,0,0,58806,197812,198716,240597,198720,199865,276668,211433,272425,558298,322838,257768,279046,216268,193449,263869,191788,187516
www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/mycra.html,Taxes,0,0,0,0,0,0,63775,138440,138238,86537,96894,90654,150336,210629,390423,678616,468632,305972,482897,267083,197032,199219,170779,152949
www.canada.ca/en/revenue-agency/services/make-a-payment-canada-revenue-agency.html,Taxes,0,0,0,0,0,0,118972,198437,171943,203717,172767,171213,246313,196123,347505,927003,331629,233624,239566,172834,131549,164302,129236,125880
